Repeat	AW146154	Gm13051	Gm13139	Gm13150	Gm13152	Gm13154	Gm13157	Gm13225	Gm13251	Gm14295	Gm14399	Gm14401	Gm14419	Gm14420	Gm14443	Gm21082	Gm30910	Gm4631	Gm8893	LOC102	Rex2	Zfp273	Zfp429	Zfp456	Zfp457	Zfp458	Zfp46	Zfp493	Zfp534	Zfp58	Zfp595	Zfp599	Zfp600	Zfp617	Zfp661	Zfp712	Zfp738	Zfp759	Zfp808	Zfp810	Zfp874a	Zfp874b	Zfp882	Zfp92	Zfp931	Zfp935	Zfp938	Zfp953	Zfp961
MTEa	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.68E-12	1	1	1	1	1	1	1	1	1	1	1	1	1
MTEb	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.38E-06	1	1	1	1	1	1	1	1	1	1	1	1	1
ORR1A0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.666000183	1	2.26E-117	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ORR1A1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.006065154	1	2.70E-89	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ORR1A2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.02E-09	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ORR1A3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2.01E-90	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ORR1A4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6.61E-37	1	1.99E-33	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ORR1B1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	6.01E-177	1	1.08E-55	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ORR1B2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.07E-62	1	6.91E-12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ORR1C1	1	1	1	1	1	1	1	0.559623188	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.43E-34	1	6.99E-08	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
