Repeat	AW146154	Gm13051	Gm13139	Gm13150	Gm13152	Gm13154	Gm13157	Gm13225	Gm13251	Gm14295	Gm14399	Gm14401	Gm14419	Gm14420	Gm14443	Gm21082	Gm30910	Gm4631	Gm8893	LOC102	Rex2	Zfp273	Zfp429	Zfp456	Zfp457	Zfp458	Zfp46	Zfp493	Zfp534	Zfp58	Zfp595	Zfp599	Zfp600	Zfp617	Zfp661	Zfp712	Zfp738	Zfp759	Zfp808	Zfp810	Zfp874a	Zfp874b	Zfp882	Zfp92	Zfp931	Zfp935	Zfp938	Zfp953	Zfp961
Simple_repeat:Simple_repeat:(CACAG)n	1	1	1	1	1	1	1	1	1	0.0179438984495413	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3.51143174827586e-46	1	6.28637533333333e-08	1	1	1	1	1	1	1	1	1	1	1	1
Simple_repeat:Simple_repeat:(CAG)n	1	1	1	1	1	6.48936234831461e-05	1	1	1	1	1	1	1	1.7184986e-26	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.371035690277778	1	1	1	1	1	1	1	1	1	1	1
Simple_repeat:Simple_repeat:(CAGAG)n	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.299811676056338	1	9.08729131182796e-20	0.218185886231884	1	1	1	1	1	1	1	1	1	1	1
Simple_repeat:Simple_repeat:(CAGG)n	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.38305574105263e-19	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0668763991561181	1	1	1.57956738333333e-24	1	1	1	1	1	1	1	1	1
Simple_repeat:Simple_repeat:(CAGT)n	1	1	1	1	1	1	1	6.18723237096774e-11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Simple_repeat:Simple_repeat:(CATTC)n	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.058746688	1	1	1	1	1	1	1	1	1	1	1	1.89908607133758e-06	1	1	1	1	1.02592261032258e-06	1	1	1	1	1	0.169223393181818	1	1	1	1	1	1	1	1	1
Simple_repeat:Simple_repeat:(CCG)n	1	1	1	1	3.36927602535211e-34	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.10616129888	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Simple_repeat:Simple_repeat:(CCTG)n	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.30173131506849e-33	1	1	1	1	1	1	0.218185886231884	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5.33113793333333e-43	1	1	1	1	1	1	1	1	1
Simple_repeat:Simple_repeat:(CGG)n	1	1	1	1	1.3783482746988e-24	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0969417547368421	1	1	1	1	1	1	1	1	1	1	1	1	0.0489734935344828	1	1	1	1	1	1	1	1	1
Simple_repeat:Simple_repeat:(CTCTG)n	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1.1604229e-19	1	1	1	1	1	1	1	1	1	1	1	1
